dpi;Sana;Tratamiento;Planta;eje_x;eje_y
0;1;0;1;-88.31352453402097;-69.61030641217532
0;1;0;2;133.97991229885662;-186.41022337626606
0;1;0;3;-53.90704725352745;-163.19870617042116
0;1;0;4;-29.544776046981603;52.26175576162986
0;1;0;5;-208.17771954865674;47.243916346206404
0;1;0;6;-97.45097851129808;-78.32363755927547
0;1;0;7;-92.14499324670845;-90.7068966645753
0;1;0;8;35.970433735640455;33.760075455114915
0;1;0;9;-18.96340637620592;5.666255246660885
0;1;0;10;158.3614550104968;-102.38194636795933
0;1;0;11;-157.94174297403384;39.12462506185697
0;1;0;12;52.288093040177834;-119.14993266843857
0;1;0;13;-144.67122242965254;-38.32261100045228
0;1;0;14;-49.25560407090502;-151.28581060238707
0;1;0;15;47.78898276592956;-90.47107398353788
0;1;0;16;-157.84343119991644;6.233873696406265
0;1;0;17;-171.56821967403894;-92.06447556528393
0;1;0;18;-76.28252706934656;-71.68873446963961
0;1;0;19;-75.52311241354467;-33.47600594553552
0;1;0;20;-12.489648640292817;-127.10966150345367
0;1;0;21;-232.7225891067911;98.1304943641429
0;1;0;22;30.43552138270173;-154.26135753637885
0;1;0;23;-60.53690317379388;24.706545446195918
0;1;0;24;-44.753522662526294;-18.502069104370857
0;1;0;25;-176.0458230044257;-43.814950587114225
0;1;0;26;-58.5402286677438;-131.90468185436302
0;1;0;27;175.63986281359377;-36.278111821559534
0;1;0;28;-104.93219917713908;-37.10664947656089
0;1;0;29;-141.08190526693363;51.51274320650141
0;1;0;30;-130.81133858470992;64.57013731262393
0;1;1;1;-133.53139661742642;-54.49186496861891
0;1;1;2;7.130852180753974;-168.06618508406518
0;1;1;3;18.222937709102645;-164.7256517668255
0;1;1;4;123.81914686235474;-153.1582251135521
0;1;1;5;-139.0301369722564;-26.188882137736776
0;1;1;6;58.21310339324339;-99.60179301010913
0;1;1;7;-31.343676064299476;-103.399260181639
0;1;1;8;44.23381225206587;-62.08960842958918
0;1;1;9;45.827904013253374;-249.22669135340695
0;1;1;10;126.84391579524008;-137.20049746375358
0;1;1;12;-78.41786912088475;39.667369672753374
0;1;1;13;56.912661036240884;-98.48345239398422
0;1;1;14;-35.43994822325701;52.733626379029296
0;1;1;15;25.074193052387344;-50.29992217686046
0;1;1;16;118.12342843185128;-80.27060457237224
0;1;1;17;118.42930243916747;13.907951989407493
0;1;1;20;-12.63660779141528;-211.88972256720723
0;1;1;21;0.19723897371874388;-67.94570855256794
0;1;1;22;97.65184807628232;-97.9995834046229
0;1;1;23;76.99514047015752;-199.31374695592643
0;1;1;24;18.712590233473904;-268.7132383040844
0;1;1;25;-104.54740555003046;-23.02162447264807
0;1;1;26;27.670783494259897;-230.62876905834995
0;1;1;27;219.90298970805793;-80.42405878161694
0;1;1;28;-52.32056216680521;-91.13968151934183
0;1;2;1;4.846323224291671;41.806539114899785
0;1;2;2;-144.7878222495392;-52.48625774219298
0;1;2;3;-39.214239189103864;9.77851606948002
0;1;2;4;-33.21513624536984;-51.78057516352809
0;1;2;5;12.715658455759494;9.48539319157636
0;1;2;6;-55.559318184270275;-97.9712402556638
0;1;2;7;-6.848844818983029;-50.595044441981614
0;1;2;8;78.11384937687953;-114.46566322782067
0;1;2;9;122.32523286435118;-157.8323946679835
0;1;2;11;-131.28130624783012;83.86584046349647
0;1;2;12;43.45111108582408;-108.49961865771054
0;1;2;13;-55.56720422747568;-57.113426285362706
0;1;2;14;-62.7983209039432;-264.7154238174314
0;1;2;15;-84.71276027185333;39.79194597548551
0;1;2;16;-51.31129192913517;-56.045712147837904
0;1;2;17;-67.31586519061136;-121.3502182766514
0;1;2;18;-179.41439911607407;-149.59739635317703
0;1;2;19;-23.478424175198747;-139.83938150293582
0;1;2;20;6.75925106071514;-112.47264634161681
0;1;2;21;-76.12521795403318;-49.22597295633762
0;1;2;22;-57.80375439376196;-76.24978266125545
0;1;2;23;-87.15350483381647;-111.24677682383528
0;1;2;24;92.47808992028342;-72.01411563136907
0;1;2;25;33.01483206763063;-100.30158731916262
0;1;2;26;72.72610151639302;-49.120718351303424
0;1;2;27;-51.87670238983285;3.8582975732635174
0;1;2;28;-30.659830308184585;-89.76770119374999
0;1;3;1;-60.59403666272447;-134.03666898605113
0;1;3;2;-53.958704150126366;-149.2692719550078
0;1;3;3;23.181235897479787;-190.44868640486604
0;1;3;4;-30.172685066138634;-115.47537267192791
0;1;3;5;-102.28443261307186;-123.51518272330566
0;1;3;6;-121.08275194630654;-61.96541460107144
0;1;3;7;-40.80185619012333;-23.74478544888929
0;1;3;8;-139.64360312131797;-20.840432896978108
0;1;3;9;-151.18383612884907;48.510039870398074
0;1;3;10;14.814628523111619;-95.14496215127326
0;1;3;11;40.36005159562552;-185.73385294129395
0;1;3;12;-99.64509093232793;-139.27625207918277
0;1;3;13;-116.9767863245739;-2.4298626281839386
0;1;3;14;-139.62171898504926;116.8345662785829
0;1;3;15;-18.435714748851296;-126.92610748990474
0;1;3;16;-31.447394705879294;-54.99187283271904
0;1;3;17;27.862240685462652;-4.390953336661726
0;1;3;18;-134.38733145342846;105.36471881493716
0;1;3;19;-255.6217282332359;188.3141246321611
0;1;3;20;-202.37120043206465;161.9682156588616
0;1;3;21;-210.4178098820701;14.612467788692511
0;1;3;22;-23.024114056112698;-112.95027937208617
0;1;3;23;-166.9428006624858;-39.70565001538674
0;1;3;24;-224.21573418510883;53.171220593255256
0;1;3;25;-57.94101832043759;-99.66536982136103
0;1;3;26;-141.64886193827115;-112.27233959279062
0;1;3;27;-235.5927991721245;148.34605911758155
0;1;3;28;-116.57185618057476;15.387533681903854
0;1;3;29;-197.22798767072987;17.864083647275166
0;1;3;30;5.163050155189467;-86.29403926834088
0;1;4;1;27.77240654319031;-32.54041983526669
0;1;4;2;-120.42508225960063;38.81161159275564
0;1;4;3;-176.4067157273053;133.31141912788456
0;1;4;4;-72.14029402457456;-61.531156754972464
0;1;4;5;-161.20067389200435;-50.67074853878197
0;1;4;6;23.072220720375455;-133.2228677313691
0;1;4;7;-100.50171436628321;63.33809763817859
0;1;4;8;-93.34596593572601;-106.34840581989268
0;1;4;9;-96.58635781187543;17.13469867318264
